DataSmart Govern 快速参考
原创合成评测资料，不含真实客户、个人、凭据或生产数据
精确码：TXT-QRF-611
独立锚点：global:quick-reference
范围：全局产品基线

一、产品入口速查
1. 登录并建立会话 | 入口=登录页 | 角色=ORDINARY_USER | 权限=SESSION/CREATE | 结果=进入个人工作台并取得受限会话
2. 切换当前项目 | 入口=顶部项目选择器 | 角色=ORDINARY_USER | 权限=PROJECT/VIEW | 结果=所有列表和 Agent 请求切换到新项目范围
3. 查看平台概览 | 入口=工作台 | 角色=ORDINARY_USER | 权限=DASHBOARD/VIEW | 结果=获得当前项目的低敏运行概览
4. 创建同步任务草稿 | 入口=数据同步/新建任务 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=生成 DRAFT 状态任务且不产生执行副作用
5. 校验创建向导步骤 | 入口=数据同步/新建任务 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=当前步骤达到进入下一步的条件
6. 发现可同步对象 | 入口=数据同步/对象选择 | 角色=PROJECT_OWNER | 权限=SYNC_TASK_METADATA/DISCOVER | 结果=获得当前权限范围内的表、文件或 Topic 清单
7. 获取字段映射建议 | 入口=数据同步/字段映射 | 角色=PROJECT_OWNER | 权限=SYNC_TASK_METADATA/SUGGEST | 结果=形成待预检的字段映射草稿
8. 检查自定义 SQL | 入口=数据同步/SQL 模式 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=只返回列定义和低敏诊断，不返回原始数据
9. 运行任务预检 | 入口=数据同步/预检 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/PRECHECK | 结果=生成可审计预检结果，不自动发布任务
10. 发布同步任务 | 入口=数据同步/任务详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/PUBLISH | 结果=任务配置形成不可变发布版本
11. 手动运行任务 | 入口=数据同步/任务详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/RUN | 结果=创建一次受治理的 MANUAL execution
12. 终止运行中任务 | 入口=数据同步/执行详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/TERMINATE | 结果=停止后续工作单元并形成终止审计
13. 查看执行详情 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=展示服务端权威执行状态和统计
14. 查看统一生命周期图 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=展示用户目标到最终验证的只读投影
15. 查看对象执行台账 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=获得表、分片、文件或分区级状态
16. 查看执行日志 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW_LOG | 结果=获得脱敏结构化日志，不展示凭据或原始数据
17. 查看恢复状态 | 入口=数据同步/执行详情 | 角色=ORDINARY_USER | 权限=SYNC_EXECUTION/VIEW | 结果=展示服务端已记录的恢复事实
18. 查看同步事故 | 入口=数据同步/事故中心 | 角色=ORDINARY_USER | 权限=SYNC_INCIDENT/VIEW | 结果=读取当前项目可见的事故记录
19. 导出任务定义 | 入口=数据同步/任务列表 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/EXPORT | 结果=获得不含连接串、凭据和完整 SQL 的定义文件
20. 导入任务定义 | 入口=数据同步/任务列表 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/IMPORT | 结果=批量创建受服务端状态机控制的任务草稿
21. 克隆同步任务 | 入口=数据同步/任务详情 | 角色=PROJECT_OWNER | 权限=SYNC_TASK/CREATE | 结果=生成独立 taskId，不复制运行状态
22. 维护任务分组 | 入口=数据同步/任务分组 | 角色=PROJECT_OWNER | 权限=SYNC_TASK_GROUP/MANAGE | 结果=更新项目内的任务组织结构
23. 查看质量概览 | 入口=数据质量/概览 | 角色=ORDINARY_USER | 权限=QUALITY_OVERVIEW/VIEW | 结果=展示当前范围的质量统计
24. 查看质量报告 | 入口=数据质量/报告 | 角色=ORDINARY_USER | 权限=QUALITY_REPORT/VIEW | 结果=获得可审计质量报告
25. 申请创建项目 | 入口=项目管理/我的申请 | 角色=ORDINARY_USER | 权限=PROJECT_CREATION_REQUEST/CREATE | 结果=创建待审批项目申请
26. 申请加入项目 | 入口=项目管理/加入项目 | 角色=ORDINARY_USER | 权限=PROJECT_JOIN_REQUEST/CREATE | 结果=创建项目成员资格申请
27. 查看我的审批请求 | 入口=审批中心/我的申请 | 角色=ORDINARY_USER | 权限=APPROVAL/VIEW_SELF | 结果=展示本人发起的审批记录
28. 创建 Agent 会话 | 入口=Agent 助手 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/CREATE_SESSION | 结果=创建仅属于当前用户和项目的 Agent 会话
29. 提交 Agent 目标 | 入口=Agent 助手 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/PLAN | 结果=生成待确认计划或需要澄清的问题
30. 确认 Agent 计划 | 入口=Agent 助手 | 角色=PROJECT_OWNER | 权限=AI_RUNTIME/EXECUTE | 结果=在授权盒内启动执行
31. 查询 RAG 证据 | 入口=Agent 助手/知识检索 | 角色=ORDINARY_USER | 权限=AI_KNOWLEDGE/QUERY | 结果=返回范围内证据或明确拒答
32. 查看 Specialist 事实 | 入口=Agent 助手/执行详情 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/VIEW | 结果=展示六 Specialist 的可审计执行事实
33. 停止 Agent 运行 | 入口=Agent 助手 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/CANCEL | 结果=停止后续规划或执行，不删除历史事实
34. 置顶或归档会话 | 入口=Agent 助手/历史 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/MANAGE_SELF | 结果=只改变个人会话展示状态
35. 查看通知与实时进度 | 入口=通知中心 | 角色=ORDINARY_USER | 权限=AI_RUNTIME/SUBSCRIBE | 结果=持续接收范围内低敏状态事件

二、状态速查
1. DRAFT | 对象=任务 | 用户操作=按页面允许动作继续
6. 主题=事故 | 精确码=TXT-QRF-611-REF-006 | 范围=全局产品基线
7. 主题=测试 | 精确码=TXT-QRF-611-REF-007 | 范围=全局产品基线
8. 主题=恢复 | 精确码=TXT-QRF-611-REF-008 | 范围=全局产品基线
9. 主题=安全审批 | 精确码=TXT-QRF-611-REF-009 | 范围=全局产品基线
10. 主题=用户操作 | 精确码=TXT-QRF-611-REF-010 | 范围=全局产品基线
11. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-011 | 范围=全局产品基线
12. 主题=接口合同 | 精确码=TXT-QRF-611-REF-012 | 范围=全局产品基线
13. 主题=部署 | 精确码=TXT-QRF-611-REF-013 | 范围=全局产品基线
14. 主题=运维 | 精确码=TXT-QRF-611-REF-014 | 范围=全局产品基线
15. 主题=事故 | 精确码=TXT-QRF-611-REF-015 | 范围=全局产品基线
16. 主题=测试 | 精确码=TXT-QRF-611-REF-016 | 范围=全局产品基线
17. 主题=恢复 | 精确码=TXT-QRF-611-REF-017 | 范围=全局产品基线
18. 主题=安全审批 | 精确码=TXT-QRF-611-REF-018 | 范围=全局产品基线
19. 主题=用户操作 | 精确码=TXT-QRF-611-REF-019 | 范围=全局产品基线
20. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-020 | 范围=全局产品基线
21. 主题=接口合同 | 精确码=TXT-QRF-611-REF-021 | 范围=全局产品基线
22. 主题=部署 | 精确码=TXT-QRF-611-REF-022 | 范围=全局产品基线
23. 主题=运维 | 精确码=TXT-QRF-611-REF-023 | 范围=全局产品基线
24. 主题=事故 | 精确码=TXT-QRF-611-REF-024 | 范围=全局产品基线
25. 主题=测试 | 精确码=TXT-QRF-611-REF-025 | 范围=全局产品基线
26. 主题=恢复 | 精确码=TXT-QRF-611-REF-026 | 范围=全局产品基线
27. 主题=安全审批 | 精确码=TXT-QRF-611-REF-027 | 范围=全局产品基线
28. 主题=用户操作 | 精确码=TXT-QRF-611-REF-028 | 范围=全局产品基线
29. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-029 | 范围=全局产品基线
30. 主题=接口合同 | 精确码=TXT-QRF-611-REF-030 | 范围=全局产品基线
31. 主题=部署 | 精确码=TXT-QRF-611-REF-031 | 范围=全局产品基线
32. 主题=运维 | 精确码=TXT-QRF-611-REF-032 | 范围=全局产品基线
33. 主题=事故 | 精确码=TXT-QRF-611-REF-033 | 范围=全局产品基线
34. 主题=测试 | 精确码=TXT-QRF-611-REF-034 | 范围=全局产品基线
35. 主题=恢复 | 精确码=TXT-QRF-611-REF-035 | 范围=全局产品基线
36. 主题=安全审批 | 精确码=TXT-QRF-611-REF-036 | 范围=全局产品基线
37. 主题=用户操作 | 精确码=TXT-QRF-611-REF-037 | 范围=全局产品基线
38. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-038 | 范围=全局产品基线
39. 主题=接口合同 | 精确码=TXT-QRF-611-REF-039 | 范围=全局产品基线
40. 主题=部署 | 精确码=TXT-QRF-611-REF-040 | 范围=全局产品基线
41. 主题=运维 | 精确码=TXT-QRF-611-REF-041 | 范围=全局产品基线
42. 主题=事故 | 精确码=TXT-QRF-611-REF-042 | 范围=全局产品基线
43. 主题=测试 | 精确码=TXT-QRF-611-REF-043 | 范围=全局产品基线
44. 主题=恢复 | 精确码=TXT-QRF-611-REF-044 | 范围=全局产品基线
45. 主题=安全审批 | 精确码=TXT-QRF-611-REF-045 | 范围=全局产品基线
46. 主题=用户操作 | 精确码=TXT-QRF-611-REF-046 | 范围=全局产品基线
47. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-047 | 范围=全局产品基线
48. 主题=接口合同 | 精确码=TXT-QRF-611-REF-048 | 范围=全局产品基线
49. 主题=部署 | 精确码=TXT-QRF-611-REF-049 | 范围=全局产品基线
50. 主题=运维 | 精确码=TXT-QRF-611-REF-050 | 范围=全局产品基线
51. 主题=事故 | 精确码=TXT-QRF-611-REF-051 | 范围=全局产品基线
52. 主题=测试 | 精确码=TXT-QRF-611-REF-052 | 范围=全局产品基线
53. 主题=恢复 | 精确码=TXT-QRF-611-REF-053 | 范围=全局产品基线
54. 主题=安全审批 | 精确码=TXT-QRF-611-REF-054 | 范围=全局产品基线
55. 主题=用户操作 | 精确码=TXT-QRF-611-REF-055 | 范围=全局产品基线
56. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-056 | 范围=全局产品基线
57. 主题=接口合同 | 精确码=TXT-QRF-611-REF-057 | 范围=全局产品基线
58. 主题=部署 | 精确码=TXT-QRF-611-REF-058 | 范围=全局产品基线
59. 主题=运维 | 精确码=TXT-QRF-611-REF-059 | 范围=全局产品基线
60. 主题=事故 | 精确码=TXT-QRF-611-REF-060 | 范围=全局产品基线
61. 主题=测试 | 精确码=TXT-QRF-611-REF-061 | 范围=全局产品基线
62. 主题=恢复 | 精确码=TXT-QRF-611-REF-062 | 范围=全局产品基线
63. 主题=安全审批 | 精确码=TXT-QRF-611-REF-063 | 范围=全局产品基线
64. 主题=用户操作 | 精确码=TXT-QRF-611-REF-064 | 范围=全局产品基线
65. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-065 | 范围=全局产品基线
66. 主题=接口合同 | 精确码=TXT-QRF-611-REF-066 | 范围=全局产品基线
67. 主题=部署 | 精确码=TXT-QRF-611-REF-067 | 范围=全局产品基线
68. 主题=运维 | 精确码=TXT-QRF-611-REF-068 | 范围=全局产品基线
69. 主题=事故 | 精确码=TXT-QRF-611-REF-069 | 范围=全局产品基线
70. 主题=测试 | 精确码=TXT-QRF-611-REF-070 | 范围=全局产品基线
71. 主题=恢复 | 精确码=TXT-QRF-611-REF-071 | 范围=全局产品基线
72. 主题=安全审批 | 精确码=TXT-QRF-611-REF-072 | 范围=全局产品基线
73. 主题=用户操作 | 精确码=TXT-QRF-611-REF-073 | 范围=全局产品基线
74. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-074 | 范围=全局产品基线
75. 主题=接口合同 | 精确码=TXT-QRF-611-REF-075 | 范围=全局产品基线
76. 主题=部署 | 精确码=TXT-QRF-611-REF-076 | 范围=全局产品基线
77. 主题=运维 | 精确码=TXT-QRF-611-REF-077 | 范围=全局产品基线
78. 主题=事故 | 精确码=TXT-QRF-611-REF-078 | 范围=全局产品基线
79. 主题=测试 | 精确码=TXT-QRF-611-REF-079 | 范围=全局产品基线
80. 主题=恢复 | 精确码=TXT-QRF-611-REF-080 | 范围=全局产品基线
81. 主题=安全审批 | 精确码=TXT-QRF-611-REF-081 | 范围=全局产品基线
82. 主题=用户操作 | 精确码=TXT-QRF-611-REF-082 | 范围=全局产品基线
83. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-083 | 范围=全局产品基线
84. 主题=接口合同 | 精确码=TXT-QRF-611-REF-084 | 范围=全局产品基线
85. 主题=部署 | 精确码=TXT-QRF-611-REF-085 | 范围=全局产品基线
86. 主题=运维 | 精确码=TXT-QRF-611-REF-086 | 范围=全局产品基线
87. 主题=事故 | 精确码=TXT-QRF-611-REF-087 | 范围=全局产品基线
88. 主题=测试 | 精确码=TXT-QRF-611-REF-088 | 范围=全局产品基线
89. 主题=恢复 | 精确码=TXT-QRF-611-REF-089 | 范围=全局产品基线
90. 主题=安全审批 | 精确码=TXT-QRF-611-REF-090 | 范围=全局产品基线
91. 主题=用户操作 | 精确码=TXT-QRF-611-REF-091 | 范围=全局产品基线
92. 主题=管理员操作 | 精确码=TXT-QRF-611-REF-092 | 范围=全局产品基线
93. 主题=接口合同 | 精确码=TXT-QRF-611-REF-093 | 范围=全局产品基线
94. 主题=部署 | 精确码=TXT-QRF-611-REF-094 | 范围=全局产品基线
95. 主题=运维 | 精确码=TXT-QRF-611-REF-095 | 范围=全局产品基线
96. 主题=事故 | 精确码=TXT-QRF-611-REF-096 | 范围=全局产品基线
97. 主题=测试 | 精确码=TXT-QRF-611-REF-097 | 范围=全局产品基线
98. 主题=恢复 | 精确码=TXT-QRF-611-REF-098 | 范围=全局产品基线
99. 主题=安全审批 | 精确码=TXT-QRF-611-REF-099 | 范围=全局产品基线
100. 主题=用户操作 | 精确码=TXT-QRF-611-REF-100 | 范围=全局产品基线
