record_id,artifact_code,retrieval_anchor,connector_id,connector_type,version,environment,supported_modes,max_batch_size,max_channels,rate_limit_rps,health_state,last_probed_at,source_uri
CON-0058,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0058,MYSQL,2.7.17,DEV,FULL|INCREMENTAL|CDC,1000,2,220,DEGRADED,2026-08-12T09:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/58
CON-0059,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0059,KAFKA,2.8.18,TEST,FULL|INCREMENTAL|CDC,1500,3,230,HEALTHY,2026-08-12T10:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/59
CON-0060,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0060,CSV,2.9.19,STAGING,FULL|INCREMENTAL|CDC,2000,4,240,HEALTHY,2026-08-12T11:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/60
CON-0061,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0061,REST_API,2.0.0,DEV,FULL|INCREMENTAL|CDC,2500,5,50,HEALTHY,2026-08-12T12:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/61
CON-0062,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0062,S3,2.1.1,TEST,FULL|INCREMENTAL|CDC,3000,6,60,HEALTHY,2026-08-12T13:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/62
CON-0063,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0063,MONGODB,2.2.2,STAGING,FULL|INCREMENTAL|CDC,3500,7,70,HEALTHY,2026-08-12T14:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/63
CON-0064,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0064,POSTGRESQL,2.3.3,DEV,FULL|INCREMENTAL|CDC,4000,8,80,HEALTHY,2026-08-12T15:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/64
CON-0065,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0065,MYSQL,2.4.4,TEST,FULL|INCREMENTAL|CDC,500,1,90,HEALTHY,2026-08-12T16:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/65
CON-0066,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0066,KAFKA,2.5.5,STAGING,FULL|INCREMENTAL|CDC,1000,2,100,HEALTHY,2026-08-12T17:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/66
CON-0067,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0067,CSV,2.6.6,DEV,FULL|INCREMENTAL|CDC,1500,3,110,HEALTHY,2026-08-12T18:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/67
CON-0068,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0068,REST_API,2.7.7,TEST,FULL|INCREMENTAL|CDC,2000,4,120,HEALTHY,2026-08-12T19:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/68
CON-0069,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0069,S3,2.8.8,STAGING,FULL|INCREMENTAL|CDC,2500,5,130,HEALTHY,2026-08-12T20:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/69
CON-0070,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0070,MONGODB,2.9.9,DEV,FULL|INCREMENTAL|CDC,3000,6,140,HEALTHY,2026-08-12T21:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/70
CON-0071,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0071,POSTGRESQL,2.0.10,TEST,FULL|INCREMENTAL|CDC,3500,7,150,HEALTHY,2026-08-12T22:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/71
CON-0072,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0072,MYSQL,2.1.11,STAGING,FULL|INCREMENTAL|CDC,4000,8,160,HEALTHY,2026-08-12T23:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/72
CON-0073,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0073,KAFKA,2.2.12,DEV,FULL|INCREMENTAL|CDC,500,1,170,HEALTHY,2026-08-13T00:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/73
CON-0074,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0074,CSV,2.3.13,TEST,FULL|INCREMENTAL|CDC,1000,2,180,HEALTHY,2026-08-13T01:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/74
CON-0075,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0075,REST_API,2.4.14,STAGING,FULL|INCREMENTAL|CDC,1500,3,190,HEALTHY,2026-08-13T02:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/75
CON-0076,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0076,S3,2.5.15,DEV,FULL|INCREMENTAL|CDC,2000,4,200,HEALTHY,2026-08-13T03:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/76
CON-0077,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0077,MONGODB,2.6.16,TEST,FULL|INCREMENTAL|CDC,2500,5,210,DEGRADED,2026-08-13T04:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/77
CON-0078,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0078,POSTGRESQL,2.7.17,STAGING,FULL|INCREMENTAL|CDC,3000,6,220,HEALTHY,2026-08-13T05:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/78
CON-0079,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0079,MYSQL,2.8.18,DEV,FULL|INCREMENTAL|CDC,3500,7,230,HEALTHY,2026-08-13T06:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/79
CON-0080,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0080,KAFKA,2.9.19,TEST,FULL|INCREMENTAL|CDC,4000,8,240,HEALTHY,2026-08-13T07:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/80
CON-0081,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0081,CSV,2.0.0,STAGING,FULL|INCREMENTAL|CDC,500,1,50,HEALTHY,2026-08-13T08:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/81
CON-0082,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0082,REST_API,2.1.1,DEV,FULL|INCREMENTAL|CDC,1000,2,60,HEALTHY,2026-08-13T09:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/82
CON-0083,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0083,S3,2.2.2,TEST,FULL|INCREMENTAL|CDC,1500,3,70,HEALTHY,2026-08-13T10:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/83
CON-0084,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0084,MONGODB,2.3.3,STAGING,FULL|INCREMENTAL|CDC,2000,4,80,HEALTHY,2026-08-13T11:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/84
CON-0085,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0085,POSTGRESQL,2.4.4,DEV,FULL|INCREMENTAL|CDC,2500,5,90,HEALTHY,2026-08-13T12:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/85
CON-0086,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0086,MYSQL,2.5.5,TEST,FULL|INCREMENTAL|CDC,3000,6,100,HEALTHY,2026-08-13T13:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/86
CON-0087,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0087,KAFKA,2.6.6,STAGING,FULL|INCREMENTAL|CDC,3500,7,110,HEALTHY,2026-08-13T14:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/87
CON-0088,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0088,CSV,2.7.7,DEV,FULL|INCREMENTAL|CDC,4000,8,120,HEALTHY,2026-08-13T15:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/88
CON-0089,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0089,REST_API,2.8.8,TEST,FULL|INCREMENTAL|CDC,500,1,130,HEALTHY,2026-08-13T16:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/89
CON-0090,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0090,S3,2.9.9,STAGING,FULL|INCREMENTAL|CDC,1000,2,140,HEALTHY,2026-08-13T17:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/90
CON-0091,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0091,MONGODB,2.0.10,DEV,FULL|INCREMENTAL|CDC,1500,3,150,HEALTHY,2026-08-13T18:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/91
CON-0092,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0092,POSTGRESQL,2.1.11,TEST,FULL|INCREMENTAL|CDC,2000,4,160,HEALTHY,2026-08-13T19:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/92
CON-0093,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0093,MYSQL,2.2.12,STAGING,FULL|INCREMENTAL|CDC,2500,5,170,HEALTHY,2026-08-13T20:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/93
CON-0094,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0094,KAFKA,2.3.13,DEV,FULL|INCREMENTAL|CDC,3000,6,180,HEALTHY,2026-08-13T21:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/94
CON-0095,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0095,CSV,2.4.14,TEST,FULL|INCREMENTAL|CDC,3500,7,190,HEALTHY,2026-08-13T22:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/95
CON-0096,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0096,REST_API,2.5.15,STAGING,FULL|INCREMENTAL|CDC,4000,8,200,DEGRADED,2026-08-13T23:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/96
CON-0097,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0097,S3,2.6.16,DEV,FULL|INCREMENTAL|CDC,500,1,210,HEALTHY,2026-08-14T00:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/97
CON-0098,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0098,MONGODB,2.7.17,TEST,FULL|INCREMENTAL|CDC,1000,2,220,HEALTHY,2026-08-14T01:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/98
CON-0099,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0099,POSTGRESQL,2.8.18,STAGING,FULL|INCREMENTAL|CDC,1500,3,230,HEALTHY,2026-08-14T02:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/99
CON-0100,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0100,MYSQL,2.9.19,DEV,FULL|INCREMENTAL|CDC,2000,4,240,HEALTHY,2026-08-14T03:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/100
CON-0101,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0101,KAFKA,2.0.0,TEST,FULL|INCREMENTAL|CDC,2500,5,50,HEALTHY,2026-08-14T04:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/101
CON-0102,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0102,CSV,2.1.1,STAGING,FULL|INCREMENTAL|CDC,3000,6,60,HEALTHY,2026-08-14T05:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/102
CON-0103,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0103,REST_API,2.2.2,DEV,FULL|INCREMENTAL|CDC,3500,7,70,HEALTHY,2026-08-14T06:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/103
CON-0104,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0104,S3,2.3.3,TEST,FULL|INCREMENTAL|CDC,4000,8,80,HEALTHY,2026-08-14T07:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/104
CON-0105,CSV-CON-788,tenant-10-project-101:connector-inventory,connector-0105,MONGODB,2.4.4,STAGING,FULL|INCREMENTAL|CDC,500,1,90,HEALTHY,2026-08-14T08:00:00.000Z,synthetic://datasmart-govern/connectors/tenant-10-project-101/105
