record_id,artifact_code,retrieval_anchor,task_id,execution_id,config_version,sync_mode,source_object,target_object,rows_read,rows_written,dirty_records,duration_ms,checkpoint,completed_at,status,source_uri
RUN-0011,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0011,EXEC-tenant-20-project-201-0011,cfg-v110,API,Kafka.payment,warehouse.payment,19910,19910,0,31310,checkpoint-000011,2026-08-10T02:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/11
RUN-0012,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0012,EXEC-tenant-20-project-201-0012,cfg-v111,KAFKA,CSV.daily_sales,staging.daily_sales,20901,20901,0,31441,checkpoint-000012,2026-08-10T02:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/12
RUN-0013,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0013,EXEC-tenant-20-project-201-0013,cfg-v112,FULL,API.inventory,warehouse.inventory,21892,21892,0,31572,checkpoint-000013,2026-08-10T03:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/13
RUN-0014,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0014,EXEC-tenant-20-project-201-0014,cfg-v113,INCREMENTAL,MinIO.parquet/events,lake.events,22883,22883,0,31703,checkpoint-000014,2026-08-10T03:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/14
RUN-0015,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0015,EXEC-tenant-20-project-201-0015,cfg-v114,CDC,MongoDB.profile,warehouse.profile,23874,23874,0,31834,checkpoint-000015,2026-08-10T03:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/15
RUN-0016,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0016,EXEC-tenant-20-project-201-0016,cfg-v115,FILE,PostgreSQL.refund,warehouse.refund_fact,24865,24865,0,31965,checkpoint-000016,2026-08-10T03:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/16
RUN-0017,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0017,EXEC-tenant-20-project-201-0017,cfg-v116,API,PostgreSQL.orders,warehouse.order_fact,25856,25856,0,32096,checkpoint-000017,2026-08-10T04:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/17
RUN-0018,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0018,EXEC-tenant-20-project-201-0018,cfg-v117,KAFKA,MySQL.customer,lake.customer,26847,26847,0,32227,checkpoint-000018,2026-08-10T04:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/18
RUN-0019,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0019,EXEC-tenant-20-project-201-0019,cfg-v118,FULL,Kafka.payment,warehouse.payment,27838,27838,0,32358,checkpoint-000019,2026-08-10T04:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/19
RUN-0020,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0020,EXEC-tenant-20-project-201-0020,cfg-v119,INCREMENTAL,CSV.daily_sales,staging.daily_sales,28829,28829,0,32489,checkpoint-000020,2026-08-10T04:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/20
RUN-0021,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0021,EXEC-tenant-20-project-201-0021,cfg-v120,CDC,API.inventory,warehouse.inventory,29820,29820,0,32620,checkpoint-000021,2026-08-10T05:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/21
RUN-0022,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0022,EXEC-tenant-20-project-201-0022,cfg-v121,FILE,MinIO.parquet/events,lake.events,30811,30811,0,32751,checkpoint-000022,2026-08-10T05:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/22
RUN-0023,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0023,EXEC-tenant-20-project-201-0023,cfg-v122,API,MongoDB.profile,warehouse.profile,31802,31802,0,32882,checkpoint-000023,2026-08-10T05:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/23
RUN-0024,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0024,EXEC-tenant-20-project-201-0024,cfg-v123,KAFKA,PostgreSQL.refund,warehouse.refund_fact,32793,32793,0,33013,checkpoint-000024,2026-08-10T05:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/24
RUN-0025,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0025,EXEC-tenant-20-project-201-0025,cfg-v124,FULL,PostgreSQL.orders,warehouse.order_fact,33784,33784,0,33144,checkpoint-000025,2026-08-10T06:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/25
RUN-0026,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0026,EXEC-tenant-20-project-201-0026,cfg-v125,INCREMENTAL,MySQL.customer,lake.customer,34775,34775,0,33275,checkpoint-000026,2026-08-10T06:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/26
RUN-0027,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0027,EXEC-tenant-20-project-201-0027,cfg-v126,CDC,Kafka.payment,warehouse.payment,35766,35766,0,33406,checkpoint-000027,2026-08-10T06:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/27
RUN-0028,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0028,EXEC-tenant-20-project-201-0028,cfg-v127,FILE,CSV.daily_sales,staging.daily_sales,36757,36757,0,33537,checkpoint-000028,2026-08-10T06:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/28
RUN-0029,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0029,EXEC-tenant-20-project-201-0029,cfg-v128,API,API.inventory,warehouse.inventory,37748,37748,0,33668,checkpoint-000029,2026-08-10T07:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/29
RUN-0030,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0030,EXEC-tenant-20-project-201-0030,cfg-v129,KAFKA,MinIO.parquet/events,lake.events,38739,38739,0,33799,checkpoint-000030,2026-08-10T07:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/30
RUN-0031,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0031,EXEC-tenant-20-project-201-0031,cfg-v130,FULL,MongoDB.profile,warehouse.profile,39730,39730,0,33930,checkpoint-000031,2026-08-10T07:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/31
RUN-0032,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0032,EXEC-tenant-20-project-201-0032,cfg-v131,INCREMENTAL,PostgreSQL.refund,warehouse.refund_fact,40721,40721,0,34061,checkpoint-000032,2026-08-10T07:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/32
RUN-0033,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0033,EXEC-tenant-20-project-201-0033,cfg-v132,CDC,PostgreSQL.orders,warehouse.order_fact,41712,41712,0,34192,checkpoint-000033,2026-08-10T08:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/33
RUN-0034,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0034,EXEC-tenant-20-project-201-0034,cfg-v133,FILE,MySQL.customer,lake.customer,42703,42703,0,34323,checkpoint-000034,2026-08-10T08:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/34
RUN-0035,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0035,EXEC-tenant-20-project-201-0035,cfg-v134,API,Kafka.payment,warehouse.payment,43694,43694,0,34454,checkpoint-000035,2026-08-10T08:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/35
RUN-0036,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0036,EXEC-tenant-20-project-201-0036,cfg-v135,KAFKA,CSV.daily_sales,staging.daily_sales,44685,44685,0,34585,checkpoint-000036,2026-08-10T08:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/36
RUN-0037,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0037,EXEC-tenant-20-project-201-0037,cfg-v136,FULL,API.inventory,warehouse.inventory,45676,45676,0,34716,checkpoint-000037,2026-08-10T09:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/37
RUN-0038,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0038,EXEC-tenant-20-project-201-0038,cfg-v137,INCREMENTAL,MinIO.parquet/events,lake.events,46667,46667,0,34847,checkpoint-000038,2026-08-10T09:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/38
RUN-0039,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0039,EXEC-tenant-20-project-201-0039,cfg-v138,CDC,MongoDB.profile,warehouse.profile,47658,47658,0,34978,checkpoint-000039,2026-08-10T09:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/39
RUN-0040,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0040,EXEC-tenant-20-project-201-0040,cfg-v139,FILE,PostgreSQL.refund,warehouse.refund_fact,48649,48649,0,35109,checkpoint-000040,2026-08-10T09:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/40
RUN-0041,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0041,EXEC-tenant-20-project-201-0041,cfg-v140,API,PostgreSQL.orders,warehouse.order_fact,49640,49640,0,35240,checkpoint-000041,2026-08-10T10:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/41
RUN-0042,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0042,EXEC-tenant-20-project-201-0042,cfg-v141,KAFKA,MySQL.customer,lake.customer,50631,50631,0,35371,checkpoint-000042,2026-08-10T10:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/42
RUN-0043,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0043,EXEC-tenant-20-project-201-0043,cfg-v142,FULL,Kafka.payment,warehouse.payment,51622,51622,0,35502,checkpoint-000043,2026-08-10T10:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/43
RUN-0044,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0044,EXEC-tenant-20-project-201-0044,cfg-v143,INCREMENTAL,CSV.daily_sales,staging.daily_sales,52613,52613,0,35633,checkpoint-000044,2026-08-10T10:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/44
RUN-0045,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0045,EXEC-tenant-20-project-201-0045,cfg-v144,CDC,API.inventory,warehouse.inventory,53604,53604,0,35764,checkpoint-000045,2026-08-10T11:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/45
RUN-0046,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0046,EXEC-tenant-20-project-201-0046,cfg-v145,FILE,MinIO.parquet/events,lake.events,54595,54595,0,35895,checkpoint-000046,2026-08-10T11:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/46
RUN-0047,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0047,EXEC-tenant-20-project-201-0047,cfg-v146,API,MongoDB.profile,warehouse.profile,55586,55586,0,36026,checkpoint-000047,2026-08-10T11:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/47
RUN-0048,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0048,EXEC-tenant-20-project-201-0048,cfg-v147,KAFKA,PostgreSQL.refund,warehouse.refund_fact,56577,56577,0,36157,checkpoint-000048,2026-08-10T11:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/48
RUN-0049,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0049,EXEC-tenant-20-project-201-0049,cfg-v148,FULL,PostgreSQL.orders,warehouse.order_fact,57568,57568,0,36288,checkpoint-000049,2026-08-10T12:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/49
RUN-0050,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0050,EXEC-tenant-20-project-201-0050,cfg-v149,INCREMENTAL,MySQL.customer,lake.customer,58559,58559,0,36419,checkpoint-000050,2026-08-10T12:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/50
RUN-0051,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0051,EXEC-tenant-20-project-201-0051,cfg-v150,CDC,Kafka.payment,warehouse.payment,59550,59550,0,36550,checkpoint-000051,2026-08-10T12:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/51
RUN-0052,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0052,EXEC-tenant-20-project-201-0052,cfg-v151,FILE,CSV.daily_sales,staging.daily_sales,60541,60541,0,36681,checkpoint-000052,2026-08-10T12:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/52
RUN-0053,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0053,EXEC-tenant-20-project-201-0053,cfg-v152,API,API.inventory,warehouse.inventory,61532,61532,0,36812,checkpoint-000053,2026-08-10T13:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/53
RUN-0054,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0054,EXEC-tenant-20-project-201-0054,cfg-v153,KAFKA,MinIO.parquet/events,lake.events,62523,62523,0,36943,checkpoint-000054,2026-08-10T13:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/54
RUN-0055,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0055,EXEC-tenant-20-project-201-0055,cfg-v154,FULL,MongoDB.profile,warehouse.profile,63514,63514,0,37074,checkpoint-000055,2026-08-10T13:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/55
RUN-0056,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0056,EXEC-tenant-20-project-201-0056,cfg-v155,INCREMENTAL,PostgreSQL.refund,warehouse.refund_fact,64505,64505,0,37205,checkpoint-000056,2026-08-10T13:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/56
RUN-0057,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0057,EXEC-tenant-20-project-201-0057,cfg-v156,CDC,PostgreSQL.orders,warehouse.order_fact,65496,65496,0,37336,checkpoint-000057,2026-08-10T14:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/57
RUN-0058,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0058,EXEC-tenant-20-project-201-0058,cfg-v157,FILE,MySQL.customer,lake.customer,66487,66487,0,37467,checkpoint-000058,2026-08-10T14:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/58
RUN-0059,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0059,EXEC-tenant-20-project-201-0059,cfg-v158,API,Kafka.payment,warehouse.payment,67478,67478,0,37598,checkpoint-000059,2026-08-10T14:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/59
RUN-0060,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0060,EXEC-tenant-20-project-201-0060,cfg-v159,KAFKA,CSV.daily_sales,staging.daily_sales,68469,68469,0,37729,checkpoint-000060,2026-08-10T14:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/60
RUN-0061,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0061,EXEC-tenant-20-project-201-0061,cfg-v160,FULL,API.inventory,warehouse.inventory,69460,69460,0,37860,checkpoint-000061,2026-08-10T15:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/61
RUN-0062,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0062,EXEC-tenant-20-project-201-0062,cfg-v161,INCREMENTAL,MinIO.parquet/events,lake.events,70451,70451,0,37991,checkpoint-000062,2026-08-10T15:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/62
RUN-0063,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0063,EXEC-tenant-20-project-201-0063,cfg-v162,CDC,MongoDB.profile,warehouse.profile,71442,71442,0,38122,checkpoint-000063,2026-08-10T15:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/63
RUN-0064,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0064,EXEC-tenant-20-project-201-0064,cfg-v163,FILE,PostgreSQL.refund,warehouse.refund_fact,72433,72433,0,38253,checkpoint-000064,2026-08-10T15:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/64
RUN-0065,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0065,EXEC-tenant-20-project-201-0065,cfg-v164,API,PostgreSQL.orders,warehouse.order_fact,73424,73424,0,38384,checkpoint-000065,2026-08-10T16:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/65
RUN-0066,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0066,EXEC-tenant-20-project-201-0066,cfg-v165,KAFKA,MySQL.customer,lake.customer,74415,74415,0,38515,checkpoint-000066,2026-08-10T16:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/66
RUN-0067,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0067,EXEC-tenant-20-project-201-0067,cfg-v166,FULL,Kafka.payment,warehouse.payment,75406,75406,0,38646,checkpoint-000067,2026-08-10T16:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/67
RUN-0068,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0068,EXEC-tenant-20-project-201-0068,cfg-v167,INCREMENTAL,CSV.daily_sales,staging.daily_sales,76397,76397,0,38777,checkpoint-000068,2026-08-10T16:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/68
RUN-0069,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0069,EXEC-tenant-20-project-201-0069,cfg-v168,CDC,API.inventory,warehouse.inventory,77388,77388,0,38908,checkpoint-000069,2026-08-10T17:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/69
RUN-0070,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0070,EXEC-tenant-20-project-201-0070,cfg-v169,FILE,MinIO.parquet/events,lake.events,78379,78379,0,39039,checkpoint-000070,2026-08-10T17:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/70
RUN-0071,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0071,EXEC-tenant-20-project-201-0071,cfg-v170,API,MongoDB.profile,warehouse.profile,79370,79370,0,39170,checkpoint-000071,2026-08-10T17:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/71
RUN-0072,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0072,EXEC-tenant-20-project-201-0072,cfg-v171,KAFKA,PostgreSQL.refund,warehouse.refund_fact,80361,80361,0,39301,checkpoint-000072,2026-08-10T17:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/72
RUN-0073,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0073,EXEC-tenant-20-project-201-0073,cfg-v172,FULL,PostgreSQL.orders,warehouse.order_fact,81352,81352,0,39432,checkpoint-000073,2026-08-10T18:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/73
RUN-0074,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0074,EXEC-tenant-20-project-201-0074,cfg-v173,INCREMENTAL,MySQL.customer,lake.customer,82343,82343,0,39563,checkpoint-000074,2026-08-10T18:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/74
RUN-0075,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0075,EXEC-tenant-20-project-201-0075,cfg-v174,CDC,Kafka.payment,warehouse.payment,83334,83334,0,39694,checkpoint-000075,2026-08-10T18:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/75
RUN-0076,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0076,EXEC-tenant-20-project-201-0076,cfg-v175,FILE,CSV.daily_sales,staging.daily_sales,84325,84325,0,39825,checkpoint-000076,2026-08-10T18:45:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/76
RUN-0077,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0077,EXEC-tenant-20-project-201-0077,cfg-v176,API,API.inventory,warehouse.inventory,85316,85316,0,39956,checkpoint-000077,2026-08-10T19:00:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/77
RUN-0078,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0078,EXEC-tenant-20-project-201-0078,cfg-v177,KAFKA,MinIO.parquet/events,lake.events,86307,86307,0,40087,checkpoint-000078,2026-08-10T19:15:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/78
RUN-0079,CSV-RUN-667,tenant-20-project-201:successful-runs,TASK-tenant-20-project-201-0079,EXEC-tenant-20-project-201-0079,cfg-v178,FULL,MongoDB.profile,warehouse.profile,87298,87298,0,40218,checkpoint-000079,2026-08-10T19:30:00.000Z,SUCCEEDED,synthetic://datasmart-govern/successful-runs/tenant-20-project-201/79
